municipio,voronoi_plant_raw,voronoi_plant,d_euclidean,network_plant_raw,network_plant,d_network,beta_assigned,misallocated,_norm,beta_mum_mean,beta_mum_std,beta_mum_min,beta_mum_max,n_pairs,utm_x,utm_y
Fuente de Cantos,5,5,19184.962317431386,10,10,27807.3720877,1.449435846034179,1,fuente de cantos,1.1990205684608057,0.07962764608340242,1.0510836046392888,1.7913162633122817,300.0,210576.519256137,4238675.90281686
Navalvillar de Pela,45,45,26419.994735854943,45,45,33527.8778526,1.2690342366760146,0,navalvillar de pela,1.3643445488043213,0.28675204107383717,1.064718682947416,5.02531245482675,300.0,286648.544033966,4329925.74332166
Monesterio,10,10,26385.42987974599,10,10,34135.9940873,1.2937440944823684,0,monesterio,1.2076953918398656,0.08179874816797597,1.0561585257458614,1.648864880487898,300.0,213224.044346896,4220761.73252889
Santa Amalia,38,36,16050.78490786989,3,3,21165.5675507,1.3186624624395953,1,santa amalia,1.3208309869586254,0.14790489512402755,1.0571102647961839,1.9526879129464823,300.0,239518.868352074,4322476.23005031
Santa Marta,9,9,18013.026626755032,9,9,32747.0820169,1.8179666690915919,0,santa marta,1.22549779578525,0.11302016455817561,1.0400514008649822,1.9571165590980617,300.0,184421.852048258,4280386.3707078
Arroyo de San ServÃ¡n,14,14,8458.290533810423,14,14,10352.9811075,1.22400395991553,0,arroyo de san servan,,,,,,200375.713925654,4306512.83471976
Valverde de LeganÃ©s,13,13,8198.57055791227,13,13,10714.8409813,1.3069157489849654,0,valverde de leganas,,,,,,153871.708078802,4287904.90080638
Zalamea de la Serena,6,6,9841.280878619746,15,6,16478.1597548,1.6743917746112624,0,zalamea de la serena,1.3066833645836657,0.1184625465025505,1.0432505567456347,2.2335095011203916,300.0,268699.575412305,4281526.99142701
Hornachos,12,1,13757.275895333278,2,1,16645.636288,1.2099514769233137,0,hornachos,1.2714008142818167,0.09390001212079956,1.0996134307526992,1.6993767850483283,300.0,232844.58286239,4272004.56580725
Barcarrota,13,13,27347.297891374303,13,13,31781.1182354,1.1621301073925911,0,barcarrota,1.2406909548713467,0.07288640708556451,1.0869020229873654,1.6696663195335122,300.0,164583.377887839,4269949.74146194
Herrera del Duque,11,11,21654.01401204045,11,11,41867.2312026,1.933462829539144,0,herrera del duque,1.6041928245462782,0.33700824246122596,1.1596594323712064,3.3074756902532494,300.0,323046.866434995,4337525.72681164
Villanueva del Fresno,13,13,35572.959912619546,13,13,42261.2183378,1.1880152352126252,0,villanueva del fresno,1.22348989584505,0.06309682306705375,1.0713198069205057,1.5661129962381726,300.0,136128.896590036,4255754.61635045
Talarrubias,11,11,14453.49806538981,11,11,16771.9594239,1.1604083210874712,0,talarrubias,1.3581500257831536,0.2139282610684,1.077569581091887,2.8405219255057266,300.0,306821.661471904,4323494.03637111
