mun_key,name,prod,plant_id,dist_km,cost
cristina,Cristina,309.1000,3,34.6125,15.6498
hinojosa del valle,Hinojosa del Valle,306.9000,1,10.3623,12.2489
garbayuela,Garbayuela,300.8500,11,15.1058,13.2451
puebla del prior,Puebla del Prior,299.7500,1,3.9956,10.0205
retamal de llerena,Retamal de Llerena,275.5500,6,35.9398,20.3007
mengabril,Mengabril,267.8500,3,11.6365,7.6082
malcocinado,Malcocinado,246.9500,10,54.9020,25.3068
valle de matamoros,Valle de Matamoros,232.6500,5,40.5967,21.3938
zarzacapilla,Zarza-Capilla,221.6500,7,12.8817,14.9442
higuera de llerena,Higuera de Llerena,194.1500,10,19.9945,13.0892
baterno,Baterno,193.6000,11,17.1362,13.9557
atalaya,Atalaya,185.9000,5,4.3305,8.7006
valverde de burguillos,Valverde de Burguillos,177.1000,5,9.3381,10.4533
orellana de la sierra,Orellana de la Sierra,171.0500,3,31.0686,14.4094
lapa,Lapa. La,162.8000,9,20.7651,10.6448
tamurejo,Tamurejo,142.4500,11,15.3650,13.3358
aljucn,Aljucén,138.6000,14,23.9406,11.7722
sanctispritus,Sancti-Spíritus,130.3500,11,8.1227,10.8010
