municipio,plant_id,distance_km,produccion,C_trans,C_trat,C_tot
Villa del Rey,44,8.9269,78.5000,3.1244,9.6740,12.7984
Jarilla,22,13.8110,77.0000,4.8339,5.6516,10.4854
Casas de Miravete,27,14.2107,72.5000,4.9737,6.0773,11.0510
Gargüera,29,25.1362,66.0000,8.7977,5.1461,13.9438
Robledillo de Gata,31,9.0349,62.0000,3.1622,8.8136,11.9758
Valdecañas de Tajo,27,36.1255,59.5000,12.6439,6.0773,18.7212
Pedroso de Acim,29,38.3615,57.5000,13.4265,5.1461,18.5727
Berrocalejo,27,32.8937,52.5000,11.5128,6.0773,17.5901
Garvín,27,34.2801,52.5000,11.9980,6.0773,18.0753
Higuera,27,13.5535,50.0000,4.7437,6.0773,10.8210
Benquerencia,41,21.3633,49.0000,7.4772,8.7995,16.2767
Cachorrilla,20,14.1785,46.5000,4.9625,7.3539,12.3164
Campillo de Deleitosa,27,41.0068,39.5000,14.3524,6.0773,20.4296
Ruanes,41,20.7219,34.0000,7.2527,8.7995,16.0522
