mun_key,name,prod,plant_id,dist_km,cost
albal,Albalá,399.0000,41,3.3523,9.4698
aldeacentenera,Aldeacentenera,387.0000,19,35.4113,17.3546
casas del monte,Casas del Monte,383.0000,22,9.5827,7.6304
valdeobispo,Valdeobispo,380.5000,29,19.0561,9.9194
holguera,Holguera,379.0000,29,25.9148,11.6340
mirabel,Mirabel,365.0000,29,21.9504,10.6429
aldea del cano,Aldea del Cano,360.5000,46,29.6193,10.6309
baos de montemayor,Baños de Montemayor,351.5000,22,38.3568,14.8239
navezuelas,Navezuelas,349.0000,45,33.3380,17.1287
casas de milln,Casas de Millán,345.0000,46,40.9803,13.4712
salorino,Salorino,344.5000,39,30.2064,16.3194
torrecilla de los ngeles,Torrecilla de los Ángeles,343.5000,31,20.0253,13.7105
acebo,Acebo,342.5000,31,27.6818,15.6246
santiago de alcntara,Santiago de Alcántara,342.5000,39,27.0105,15.5204
pasarn de la vera,Pasarón de la Vera,338.5000,22,13.1780,8.5293
villamiel,Villamiel,337.5000,31,38.4017,18.3046
villar del pedroso,Villar del Pedroso,336.5000,27,49.6095,18.4797
belvs de monroy,Belvís de Monroy,335.0000,27,11.4938,8.9507
casas del castaar,Casas del Castañar,319.5000,29,27.2620,11.9708
torre de santa mara,Torre de Santa María,316.0000,41,7.8643,10.5978
guijo de granadilla,Guijo de Granadilla,312.5000,22,25.5668,11.6265
torremenga,Torremenga,310.5000,22,7.0712,7.0025
zarza de montnchez,Zarza de Montánchez,309.5000,41,18.5585,13.2713
aceituna,Aceituna,308.5000,25,11.2633,11.3535
torrejn el rubio,Torrejón el Rubio,307.0000,29,40.8312,15.3631
torrequemada,Torrequemada,302.0000,46,27.3595,10.0660
jaraicejo,Jaraicejo,295.0000,27,29.0561,13.3413
valverde de la vera,Valverde de la Vera,294.0000,22,19.6465,10.1464
torre de don miguel,Torre de Don Miguel,284.0000,31,14.2101,12.2567
pozuelo de zarzn,Pozuelo de Zarzón,282.0000,25,11.7727,11.4809
villa del campo,Villa del Campo,277.5000,25,12.9002,11.7628
plasenzuela,Plasenzuela,269.0000,46,47.7267,15.1578
bohonal de ibor,Bohonal de Ibor,267.5000,27,19.9464,11.0639
berzocana,Berzocana,264.0000,45,18.5289,13.4264
casares de las hurdes,Casares de las Hurdes,264.0000,22,73.0513,23.4976
hernnprez,Hernán-Pérez,259.0000,31,14.1510,12.2419
villanueva de la sierra,Villanueva de la Sierra,257.0000,25,18.6722,13.2058
cadalso,Cadalso,253.0000,31,3.9093,9.6815
navalvillar de ibor,Navalvillar de Ibor,252.0000,27,48.2619,18.1428
arroyomolinos de la vera,Arroyomolinos de la Vera,248.5000,22,18.5665,9.8764
cedillo,Cedillo,248.5000,39,45.4721,20.1358
garganta,Garganta. La,245.0000,22,44.7002,16.4098
ibahernando,Ibahernando,244.0000,19,15.4882,12.3738
calzadilla,Calzadilla,242.5000,20,17.9964,11.9666
barrado,Barrado,238.5000,22,25.6866,11.6564
casillas de coria,Casillas de Coria,235.0000,20,17.4483,11.8296
villasbuenas de gata,Villasbuenas de Gata,228.0000,31,16.5321,12.8372
valdelacasa de tajo,Valdelacasa de Tajo,227.5000,27,41.0754,16.3461
abertura,Abertura,227.0000,36,15.5004,12.7086
palomero,Palomero,226.0000,22,37.3520,14.5727
serrejn,Serrejón,222.0000,27,13.6532,9.4906
hinojal,Hinojal,220.5000,46,26.5424,9.8617
gargantilla,Gargantilla,220.0000,22,4.7205,6.4149
santibez el alto,Santibáñez el Alto,218.0000,31,11.6499,11.6166
cabaas del castillo,Cabañas del Castillo,211.5000,45,33.4845,17.1653
robledillo de trujillo,Robledillo de Trujillo,210.0000,41,23.4226,14.4874
cabezabellosa,Cabezabellosa,209.0000,22,26.6982,11.9093
morcillo,Morcillo,209.0000,25,7.0003,10.2878
portaje,Portaje,207.5000,20,4.6164,8.6216
guijo de santa brbara,Guijo de Santa Bárbara,205.0000,22,8.1350,7.2685
robledollano,Robledollano,201.0000,27,41.0972,16.3516
puerto de santa cruz,Puerto de Santa Cruz,196.5000,19,16.2934,12.5751
herreruela,Herreruela,193.0000,39,41.7361,19.2018
valdastillas,Valdastillas,190.0000,22,19.2731,10.0530
cabrero,Cabrero,184.5000,22,27.8005,12.1849
herguijuela,Herguijuela,183.0000,19,17.7271,12.9335
talaveruela de la vera,Talaveruela de la Vera,182.5000,22,18.5210,9.8650
granja,Granja. La,180.5000,22,7.7760,7.1788
aldea del obispo,Aldea del Obispo. La,175.0000,19,15.8707,12.4694
casas de don gmez,Casas de Don Gómez,173.5000,20,11.1570,10.2568
aldehuela de jerte,Aldehuela de Jerte,169.0000,29,18.4301,9.7629
gordo,Gordo. El,169.0000,27,25.4810,12.4475
carrascalejo,Carrascalejo,168.5000,27,55.6994,20.0021
mata de alcntara,Mata de Alcántara,165.0000,46,53.3581,16.5656
fresnedoso de ibor,Fresnedoso de Ibor,164.5000,27,33.0917,14.3502
abada,Abadía,162.5000,22,5.1397,6.5197
santa cruz de paniagua,Santa Cruz de Paniagua,157.5000,25,22.3791,14.1325
villamesas,Villamesías,155.5000,36,14.9147,12.5621
santa marta de magasca,Santa Marta de Magasca,154.5000,46,40.5514,13.3640
santiago del campo,Santiago del Campo,153.5000,46,27.6035,10.1270
robledillo de la vera,Robledillo de la Vera,152.5000,22,7.3737,7.0782
salvatierra de santiago,Salvatierra de Santiago,151.0000,41,16.9232,12.8625
santa ana,Santa Ana,149.5000,41,23.8511,14.5945
peraleda de san romn,Peraleda de San Román,147.0000,27,29.9426,13.5629
oliva de plasencia,Oliva de Plasencia,143.0000,29,15.5325,9.0384
herrera de alcntara,Herrera de Alcántara,142.5000,39,47.1743,20.5614
santa cruz de la sierra,Santa Cruz de la Sierra,135.0000,19,15.0822,12.2723
portezuelo,Portezuelo,134.0000,20,15.4047,11.3187
alcollarn,Alcollarín,133.0000,36,16.9913,13.0813
viandar de la vera,Viandar de la Vera,133.0000,22,17.6388,9.6444
millanes,Millanes,128.5000,27,6.1734,7.6206
marchagaz,Marchagaz,124.0000,22,40.1780,15.2792
rebollar,Rebollar,118.5000,22,18.7922,9.9328
guijo de coria,Guijo de Coria,115.5000,25,13.8485,11.9998
valdemorales,Valdemorales,115.0000,41,17.2140,12.9352
villar de plasencia,Villar de Plasencia,114.5000,22,19.2638,10.0507
ladrillar,Ladrillar,114.0000,22,78.0123,24.7378
carbajo,Carbajo,113.5000,39,32.5025,16.8934
romangordo,Romangordo,112.0000,27,11.1645,8.8684
casas de don antonio,Casas de Don Antonio,106.5000,41,22.4438,14.2427
valdehncar,Valdehúncar,106.0000,27,9.9152,8.5561
conquista de la sierra,Conquista de la Sierra,105.0000,19,21.4418,13.8622
piedras albas,Piedras Albas,103.5000,20,42.2762,18.0366
collado,Collado,100.5000,22,7.9814,7.2301
botija,Botija,99.5000,46,43.3759,14.0701
hulaga,Huélaga,98.0000,20,9.5492,9.8548
cerezo,Cerezo,95.0000,22,30.4637,12.8507
descargamara,Descargamaría,95.0000,31,6.0756,10.2230
segura de toro,Segura de Toro,93.0000,22,6.4228,6.8404
toril,Toril,89.5000,27,10.2692,8.6446
mesas de ibor,Mesas de Ibor,86.5000,27,27.3883,12.9243
pescueza,Pescueza,78.5000,20,12.3150,10.5463
villa del rey,Villa del Rey,78.5000,46,57.7549,17.6648
jarilla,Jarilla,77.0000,22,13.8110,8.6875
casas de miravete,Casas de Miravete,72.5000,27,14.2107,9.6299
gargera,Gargüera,66.0000,29,25.1362,11.4394
robledillo de gata,Robledillo de Gata,62.0000,31,9.0349,10.9629
valdecaas de tajo,Valdecañas de Tajo,59.5000,27,36.1255,15.1086
pedroso de acim,Pedroso de Acim,57.5000,46,42.9388,13.9608
berrocalejo,Berrocalejo,52.5000,27,32.8937,14.3007
garvn,Garvín,52.5000,27,34.2801,14.6473
higuera,Higuera,50.0000,27,13.5535,9.4656
benquerencia,Benquerencia,49.0000,46,41.8269,13.6828
cachorrilla,Cachorrilla,46.5000,20,14.1785,11.0122
campillo de deleitosa,Campillo de Deleitosa,39.5000,27,41.0068,16.3290
ruanes,Ruanes,34.0000,41,20.7219,13.8122
