mun,transport,total,prod,treatment
madroera,5.459090029855721,13.83444998400165,1458.0,8.375359954145928
magacela,4.339638812468727,7.9558271065858115,303.5,3.6161882941170846
maguilla,9.127999999999998,15.806378921613915,542.0,6.678378921613916
majadas,3.535789064968129,10.002458559111183,648.5,6.466669494143054
malcocinado,19.215,25.893378921613916,224.5,6.678378921613916
malpartida de cceres,5.2219999999999995,8.725984943313872,2234.5,3.5039849433138723
malpartida de la serena,4.1615,12.530155428969016,331.0,8.368655428969015
malpartida de plasencia,4.121422508087653,9.084449806628289,2313.5,4.963027298540636
manchita,15.748034342359405,19.36422263647649,382.0,3.6161882941170855
marchagaz,11.559691571376892,20.25876263522847,124.0,8.69907106385158
mata de alcntara,5.858999999999999,15.717912227985678,165.0,9.85891222798568
medelln,5.9675,9.583688294117085,1168.5,3.6161882941170846
medina de las torres,4.456188753187797,11.551526986832686,669.0,7.095338233644889
membro,9.156626683074784,17.880244553504866,425.5,8.723617870430083
mengabril,3.847278949171637,7.463467243288722,243.5,3.616188294117085
mesas de ibor,9.5865,16.09636893720092,86.5,6.509868937200922
miajadas,1.3296414627650157,9.954653661914096,5169.0,8.62501219914908
millanes,2.1595,8.669368937200923,128.5,6.509868937200924
mirabel,5.860289337717377,22.478846776205987,365.0,16.61855743848861
mirandilla,6.464499999999998,10.534012688292375,688.5,4.0695126882923764
mohedas de granadilla,10.5035,20.299001815897725,488.0,9.795501815897724
monesterio,11.949,18.627378921613918,2189.0,6.678378921613918
monroy,11.01206307344024,32.974312448937944,497.0,21.962249375497706
montehermoso,1.6098670516648683,10.313384280399369,2899.5,8.703517228734501
montemoln,9.947,16.625378921613915,767.0,6.678378921613916
monterrubio de la serena,2.1174999999999997,16.53744168157646,1355.0,14.41994168157646
montijo,9.193368872830423,16.274648848849715,8118.0,7.081279976019292
montnchez,0.9484999999999999,9.787643537535205,1020.0,8.839143537535206
moraleja,3.3721614866140306,11.590966599311976,3999.0,8.218805112697945
morcillo,3.1508039356921564,11.624382769763459,209.0,8.473578834071303
morera la,8.155,12.384298382382553,376.0,4.229298382382554
mrida,13.443499999999998,17.513012688292374,28197.5,4.069512688292376
nava de santiago la,12.613999999999999,16.683512688292375,544.5,4.069512688292376
navaconcejo,5.545026798966651,11.571080520680518,1037.0,6.0260537217138666
navalmoral de la mata,3.062759797933058,9.531545167987522,8614.0,6.468785370054464
navalvillar de ibor,2.968,23.41092980032651,252.0,20.44292980032651
navalvillar de pela,12.686409478192,20.444875593031522,2393.5,7.758466114839523
navas del madroo,5.1460398737553925,14.807966959592935,722.0,9.661927085837544
navezuelas,11.684347322058576,20.509625792738344,349.0,8.825278470679768
nogales,11.536,15.765298382382554,362.0,4.229298382382554
nuomoral,2.096210423169291,11.889783132848242,717.5,9.793572709678951
oliva de la frontera,17.2305,24.336793721533642,2806.0,7.106293721533643
oliva de mrida,11.339999999999998,18.479509541086717,937.5,7.139509541086719
oliva de plasencia,5.432261671334387,10.330162145239242,143.0,4.897900473904856
olivenza,1.3186906291630907,7.941683458747706,5926.0,6.622992829584615
orellana de la sierra,11.06996823660498,14.686156530722064,155.5,3.6161882941170838
orellana la vieja,9.095612271795938,12.711800565913022,1507.5,3.6161882941170838
palomas,7.156501829921542,14.27429846403692,350.5,7.117796634115379
palomero,11.172,19.909998253187354,226.0,8.737998253187353
parra la,6.807499999999999,11.036798382382553,695.0,4.229298382382554
pasarn de la vera,4.6129999999999995,11.174827228464938,338.5,6.561827228464939
pealsordo,6.354890540032117,17.806825072884433,605.0,11.451934532852317
pedroso de acim,6.183748112811487,17.531028436041606,57.5,11.34728032323012
peraleda de la mata,7.490488907986387,13.960862953725961,726.5,6.470374045739574
peraleda de san romn,10.479,16.988868937200923,147.0,6.509868937200924
