origin_id,destination_id,entry_cost,network_cost,exit_cost,total_cost
Badajoz,Galisteo,9.2782426,167934.2111136,88.9129832,168032.4023395
Badajoz,Madrigalejo,9.2782426,154127.3435142,21.185732,154157.8074889
Badajoz,Cilleros,9.2782426,184035.3973277,2.9345388,184047.6101091
Badajoz,Zarza de Granadilla,9.2782426,195135.6179199,5.3229331,195150.2190956
Badajoz,Madrigal de la Vera,9.2782426,245643.0093974,0.0900515,245652.3776916
Badajoz,Cañamero,9.2782426,167144.3739042,5.8281692,167159.4803161
Badajoz,Serradilla,9.2782426,148286.0843956,12.5111136,148307.8737519
Badajoz,Torreorgaz,9.2782426,103046.1521385,3.4679408,103058.898322
Badajoz,Pinofranqueado,9.2782426,201751.238109,0.912217,201761.4285687
Badajoz,Zorita,9.2782426,134050.7784016,0.6331413,134060.6897856
Badajoz,Gata,9.2782426,204591.6420822,26.9202263,204627.8405512
Badajoz,Alcántara,9.2782426,124145.5439305,71.1047777,124225.9269509
Badajoz,Guijo de Galisteo,9.2782426,178648.1773064,73.6030363,178731.0585853
Badajoz,Piornal,9.2782426,197595.058898,8.0590205,197612.3961611
Badajoz,Ahigal,9.2782426,191352.9917273,3.3073345,191365.5773045
Badajoz,Peraleda de la Mata,9.2782426,210923.8201782,1.7469653,210934.8453862
Badajoz,Navas del Madro¤o,9.2782426,114968.0577533,8.1320516,114985.4680476
Badajoz,Nuñomoral,9.2782426,227392.6171925,24.5274826,227426.4229177
Badajoz,Valdefuentes,9.2782426,109587.6368421,13.3088871,109610.2239719
Badajoz,Zarza la Mayor,9.2782426,148808.2716346,9.9840743,148827.5339516
Badajoz,Casatejada,9.2782426,196385.0522257,13.7239703,196408.0544387
Badajoz,Casar de Palomero,9.2782426,207283.3576046,17.8061981,207310.4420453
Badajoz,Jerte,9.2782426,204095.9249678,9.5076236,204114.7108341
Badajoz,Almaraz,9.2782426,187537.2314451,33.9120272,187580.421715
Badajoz,Majadas,9.2782426,196139.3549208,2.578777,196151.2119404
Badajoz,Cañaveral,9.2782426,131133.8003405,0.7780577,131143.8566409
Badajoz,Rosalejo,9.2782426,228987.1184585,21.769808,229018.1665091
Badajoz,Caminomorisco,9.2782426,206317.1954013,2.5433939,206329.0170378
Badajoz,Riolobos,9.2782426,153359.1119452,5.4227659,153373.8129538
Badajoz,Casta¤ar de Ibor,9.2782426,198818.5030982,2.9633366,198830.7446775
Badajoz,Tornavacas,9.2782426,211026.8580785,9.5140813,211045.6504025
Badajoz,Torrecillas de la Tiesa,9.2782426,156387.1769701,10.0733054,156406.5285182
Badajoz,"Pesga, La",9.2782426,212844.6118382,33.298899,212887.1889799
Badajoz,Carcaboso,9.2782426,173191.6273465,19.9185118,173220.8241009
Badajoz,Garganta la Olla,9.2782426,206793.7272826,23.9917461,206826.9972714
Badajoz,Torremocha,9.2782426,111013.1848921,6.5483643,111029.011499
Badajoz,Eljas,9.2782426,205183.5923049,3.202518,205196.0730655
Badajoz,Campo Lugar,9.2782426,125699.5512658,8.2967372,125717.1262456
Badajoz,Al¡a,9.2782426,194267.6261756,18.9813458,194295.885764
Badajoz,Arroyomolinos,9.2782426,99122.8850556,3.6552304,99135.8185287
Badajoz,Monroy,9.2782426,124350.3532771,91.9644324,124451.5959522
Badajoz,"Torno, El",9.2782426,188340.0692454,14.8701289,188364.217617
Badajoz,"Cumbre, La",9.2782426,128218.8602772,1.5466034,128229.6851233
Badajoz,Hoyos,9.2782426,194203.5974235,29.0048545,194241.8805207
Badajoz,Mohedas de Granadilla,9.2782426,200900.3308606,10.3874751,200919.9965783
Badajoz,Perales del Puerto,9.2782426,196074.134912,4.2858361,196087.6989908
Badajoz,Talaván,9.2782426,122105.1076131,21.5304831,122135.9163389
Badajoz,San Martín de Trevejo,9.2782426,203874.0283094,8.5606803,203891.8672324
Badajoz,Cuacos de Yuste,9.2782426,206128.3544434,5.2071683,206142.8398543
Badajoz,Tejeda de Tiétar,9.2782426,194856.3241944,7.1455581,194872.7479952
Badajoz,Acehúche,9.2782426,149123.5389564,1.6508468,149134.4680459
Badajoz,Escurial,9.2782426,112960.2107018,11.7591118,112981.2480563
Badajoz,Garciaz,9.2782426,154892.4124268,6.5192552,154908.2099247
Badajoz,Membrío,9.2782426,92378.6364496,21.2781822,92409.1928744
Badajoz,Deleitosa,9.2782426,175516.0127143,0.4630624,175525.7540194
Badajoz,Santibáñez el Bajo,9.2782426,191147.0793165,15.6060996,191171.9636588
Badajoz,Saucedilla,9.2782426,192074.4967913,67.1252214,192150.9002554
Badajoz,Aldeanueva del Camino,9.2782426,196886.6851038,22.8363464,196918.7996929
Badajoz,Albalá,9.2782426,103265.9865249,16.6243704,103291.8891379
Badajoz,Aldeacentenera,9.2782426,168686.8442935,0.6654087,168696.7879448
Badajoz,Casas del Monte,9.2782426,191987.4611206,14.8817935,192011.6211567
Badajoz,Valdeobispo,9.2782426,178188.0424305,9.0779322,178206.3986053
Badajoz,Holguera,9.2782426,158011.7081274,5.7049809,158026.691351
Badajoz,Mirabel,9.2782426,156912.0169211,8.1735385,156929.4687023
Badajoz,Aldea del Cano,9.2782426,104176.0328035,8.5870101,104193.8980562
Badajoz,Baños de Montemayor,9.2782426,239424.3693568,0.166013,239433.8136124
Badajoz,Navezuelas,9.2782426,188241.089042,88.7106363,188339.0779209
Badajoz,Casas de Millán,9.2782426,134977.7631448,55.3634953,135042.4048828
Badajoz,Salorino,9.2782426,85054.7873358,6.1230036,85070.188582
Badajoz,Torrecilla de los Ángeles,9.2782426,192204.0927735,9.9186852,192223.2897013
Badajoz,Acebo,9.2782426,198982.5814302,5.5145786,198997.3742515
Badajoz,Santiago de Alcántara,9.2782426,114261.253856,21.8387011,114292.3707997
Badajoz,Pasarón de la Vera,9.2782426,192861.1975457,11.1231454,192881.5989337
