Municipality,Plant,NetworkDistance,EuclideanDistance,Ratio,Note
Villar de Rena,38,19675.7205342,11550.92963352235,1.7033884854685997,Different_assignment_euc
Villar de Rena,17,19675.7205342,11550.92963352235,1.7033884854685997,Different_assignment_net
Valle de la Serena,6,30617.6914144,12737.672270779422,2.4037116643861096,Different_assignment_euc
Valle de la Serena,15,30617.6914144,12737.672270779422,2.4037116643861096,Different_assignment_net
Valdecaballeros,45,67269.8220883,26825.871607729823,2.5076472098269615,Different_assignment_euc
Valdecaballeros,11,67269.8220883,26825.871607729823,2.5076472098269615,Different_assignment_net
Valle de Santa Ana,5,49431.2028463,27237.20526670436,1.8148412203922515,Different_assignment_euc
Valle de Santa Ana,9,49431.2028463,27237.20526670436,1.8148412203922515,Different_assignment_net
Castilblanco,45,57663.1372143,33986.75436755587,1.6966355948759222,Different_assignment_euc
Castilblanco,11,57663.1372143,33986.75436755587,1.6966355948759222,Different_assignment_net
Higuera de la Serena,6,21664.0202503,12594.668086312591,1.7200945750879801,Different_assignment_euc
Higuera de la Serena,15,21664.0202503,12594.668086312591,1.7200945750879801,Different_assignment_net
Villagarcía de la Torre,10,37153.5768489,8686.416190864886,4.277204319080721,Different_assignment_euc
Villagarcía de la Torre,2,37153.5768489,8686.416190864886,4.277204319080721,Different_assignment_net
Puebla de la Reina,12,24039.8678423,14952.330523197825,1.6077672845047997,Different_assignment_euc
Puebla de la Reina,1,24039.8678423,14952.330523197825,1.6077672845047997,Different_assignment_net
Valencia del Mombuey,8,69191.165712,44390.7985674346,1.5586826086692462,Different_assignment_euc
Valencia del Mombuey,5,69191.165712,44390.7985674346,1.5586826086692462,Different_assignment_net
Palomas,12,20293.7016081,15724.087577468328,1.290612349245603,Different_assignment_euc
Palomas,1,20293.7016081,15724.087577468328,1.290612349245603,Different_assignment_net
Rena,38,16858.8660717,13453.628722671345,1.2531092108473552,Different_assignment_euc
Rena,17,16858.8660717,13453.628722671345,1.2531092108473552,Different_assignment_net
Malpartida de la Serena,6,11885.4043739,7456.006371409078,1.5940711128515077,Different_assignment_euc
Malpartida de la Serena,15,11885.4043739,7456.006371409078,1.5940711128515077,Different_assignment_net
Puebla del Prior,12,3995.5533892,2319.326328094571,1.722721525126015,Different_assignment_euc
Puebla del Prior,2,3995.5533892,2319.326328094571,1.722721525126015,Different_assignment_net
Retamal de Llerena,6,35939.8272777,23763.070342169063,1.512423553025575,Different_assignment_euc
Retamal de Llerena,15,35939.8272777,23763.070342169063,1.512423553025575,Different_assignment_net
Miajadas,36,2777.5606524,1408.3579036727658,1.9721980081601265,Different_assignment_euc
Miajadas,43,2777.5606524,1408.3579036727658,1.9721980081601265,Different_assignment_net
Hervás,23,30217.2119261,5530.491995688884,5.463747520049726,Different_assignment_euc
