municipio,poblacion,km2,densidad,provincia,planta_id,planta_municipio,distancia_km,produccion_t,tkm,C_trans,C_trat,C_fix_unit,C_tot
Mesas de Ibor,173,48.75,3.55,CÂ ceres,27,Navalmoral de la Mata,27.39,86.5,2369.09,9.59,8.41,8.06,18.0
Rosalejo,1284,41.82,30.7,CÂ ceres,27,Navalmoral de la Mata,27.31,642.0,17530.4,9.56,8.41,8.06,17.97
Cristina,562,15.81,35.55,Badajoz,3,Don Benito,34.61,281.0,9726.11,12.11,5.83,5.48,17.95
Hoyos,976,15.09,64.68,CÂ ceres,31,Cadalso,25.78,488.0,12582.41,9.02,8.81,8.46,17.84
Barrado,477,21.29,22.4,CÂ ceres,22,Cabezuela del Valle,25.69,238.5,6126.25,8.99,8.81,8.46,17.8
Peñalsordo,1210,47.33,25.57,Badajoz,7,Cabeza del Buey,18.08,605.0,10935.38,6.33,11.44,11.09,17.77
Guijo de Granadilla,625,73.03,8.56,CÂ ceres,22,Cabezuela del Valle,25.57,312.5,7989.64,8.95,8.81,8.46,17.76
Perales del Puerto,970,36.28,26.74,CÂ ceres,31,Cadalso,25.45,485.0,12342.39,8.91,8.81,8.46,17.72
Barcarrota,3698,136.11,27.17,Badajoz,13,Olivenza,31.78,1849.0,58763.29,11.12,6.59,6.24,17.71
Acedera,821,82.47,9.96,Badajoz,3,Don Benito,33.91,410.5,13920.36,11.87,5.83,5.48,17.7
Membrío,851,207.74,4.1,CÂ ceres,39,Valencia de Alcántara,25.66,425.5,10918.04,8.98,8.61,8.26,17.59
Torrequemada,604,30.81,19.6,CÂ ceres,41,Montánchez,25.04,302.0,7562.76,8.76,8.8,8.45,17.56
Mérida,56395,857.12,65.8,Badajoz,14,Mérida,38.41,28197.5,1083045.92,13.44,4.03,3.68,17.47
Casar de Palomero,1378,36.91,37.33,CÂ ceres,21,Nuñomoral,22.9,689.0,15777.56,8.01,9.38,9.03,17.39
Alburquerque,5704,723.23,7.89,Badajoz,18,Badajoz,41.64,2852.0,118758.75,14.57,2.8,2.45,17.37
Piornal,1537,36.39,42.24,CÂ ceres,22,Cabezuela del Valle,24.37,768.5,18728.36,8.53,8.81,8.46,17.34
Gordo. El,338,78.6,4.3,CÂ ceres,27,Navalmoral de la Mata,25.48,169.0,4306.28,8.92,8.41,8.06,17.33
Cheles,1287,47.94,26.85,Badajoz,13,Olivenza,30.65,643.5,19723.42,10.73,6.59,6.24,17.31
Entrín Bajo,602,9.74,61.81,Badajoz,4,Talavera la Real,29.75,301.0,8956.06,10.41,6.83,6.48,17.25
Usagre,1956,240.75,8.12,Badajoz,1,Ribera del Fresno,24.92,978.0,24374.97,8.72,8.5,8.15,17.22
Esparragosa de Lares,1021,208.61,4.89,Badajoz,11,Siruela,25.66,510.5,13101.72,8.98,8.2,7.85,17.19
Ladrillar,228,53.03,4.3,CÂ ceres,21,Nuñomoral,22.26,114.0,2537.9,7.79,9.38,9.03,17.17
Santa Ana,299,34.99,8.55,CÂ ceres,41,Montánchez,23.85,149.5,3565.74,8.35,8.8,8.45,17.15
Miajadas,10338,120.75,85.61,CÂ ceres,36,Escurial,2.78,5169.0,14357.21,0.97,16.09,15.74,17.06
Cabeza la Vaca,1479,64.0,23.11,Badajoz,8,Fregenal de la Sierra,23.3,739.5,17233.13,8.16,8.84,8.49,17.0
Robledillo de Trujillo,420,44.78,9.38,CÂ ceres,41,Montánchez,23.42,210.0,4918.76,8.2,8.8,8.45,17.0
Puebla de la Reina,860,131.72,6.53,Badajoz,1,Ribera del Fresno,24.04,430.0,10337.14,8.41,8.5,8.15,16.91
Don Álvaro,743,32.07,23.17,Badajoz,14,Mérida,36.79,371.5,13666.16,12.88,4.03,3.68,16.91
Villanueva de la Vera,2108,129.66,16.26,CÂ ceres,22,Cabezuela del Valle,22.74,1054.0,23968.49,7.96,8.81,8.46,16.77
Orellana de la Sierra,311,16.68,18.65,Badajoz,3,Don Benito,31.07,155.5,4831.17,10.87,5.83,5.48,16.71
Escurial,851,100.71,8.45,CÂ ceres,36,Escurial,1.69,425.5,720.25,0.59,16.09,15.74,16.68
Casas de Don Antonio,213,31.34,6.8,CÂ ceres,41,Montánchez,22.44,106.5,2390.26,7.86,8.8,8.45,16.65
