origin,beta_max,beta_min,beta_mean,beta_median,n_dest,alpha,alpha_near,municipio,misallocated,utm_x,utm_y
Portaje,1.8049398021059548,1.118553967472705,1.2943411053207357,1.2471438182230563,42,1.613636761920474,1.391008241924882,Portaje,0,195567.50569125,4424805.70742281
Feria,1.744945180900044,1.08710093317929,1.2204009047155835,1.1876190216225657,42,1.605136310385504,1.509152151873167,Feria,0,189381.716188934,4268830.82719124
Orellana de la Sierra,1.797986329756455,1.1208363906548828,1.3894195343726217,1.3710939825855462,42,1.6041469966066382,1.1621943416915568,Orellana de la Sierra,0,283948.69779355,4323275.91457814
Bohonal de Ibor,1.8088093258798463,1.128002510642112,1.3930132906638373,1.3545097756668767,42,1.6035507978170962,1.3571237352491432,Bohonal de Ibor,0,287368.163738556,4406923.5705371
Fuenlabrada de los Montes,1.7399068075444475,1.087140837479846,1.3655705130654368,1.27842558395748,42,1.6004428750720192,1.3214530007620116,Fuenlabrada de los Montes,0,333046.431007462,4333425.89643132
Garciaz,1.8593578980003944,1.165273991900334,1.39698988318386,1.2942482392091699,42,1.5956400905920376,1.4455002381179463,Garciaz,1,273948.961556181,4366024.65582678
Romangordo,1.800952231646179,1.1293030182401642,1.299460749563376,1.245456812275771,42,1.594746673441705,1.1842602154862927,Romangordo,0,268749.027082719,4402723.59208588
Villar del Pedroso,1.8005765002949048,1.1295255186589657,1.416430038664746,1.358531120741471,42,1.5940998857933262,1.1050639343775204,Villar del Pedroso,1,311947.097828512,4397623.97483551
Burguillos del Cerro,1.7797843761162437,1.1203587315011245,1.2377958484795508,1.220964129386695,42,1.588584375766484,1.55050762628304,Burguillos del Cerro,0,186427.125312274,4254283.19671764
Salvatierra de Santiago,1.7459443026924215,1.1041591715732764,1.3232824952506377,1.3088180445585804,42,1.5812433095173124,1.1263099588552132,Salvatierra de Santiago,0,238657.513079029,4354853.81554231
Portezuelo,1.7859768009437376,1.1308282998045829,1.281360324228211,1.2249066826038284,42,1.5793527640335585,1.5609875546434806,Portezuelo,1,202681.597896817,4412795.10187037
Benquerencia de la Serena,1.6518221392252797,1.0502612281962158,1.2120225756498284,1.2026047979844807,42,1.5727726539636449,1.5727726539636449,Benquerencia de la Serena,0,283108.902471605,4286576.93830036
Coria,1.6735388947754375,1.064537897480645,1.2424334372694414,1.202708056261488,42,1.5720801473917139,1.2371914233750696,Coria,0,198208.225088929,4431998.57932882
Don Benito,1.6760337478501501,1.070364338662932,1.2066827244333265,1.1977514622584609,41,1.5658535017560495,1.0896489370949878,Don Benito,0,252050.169299434,4315925.95363666
Garlitos,1.8751830439210553,1.1989710999287941,1.3941876739636758,1.3907458759810138,42,1.5639935308135624,1.4084306427228863,Garlitos,0,322497.035622686,4305626.62060681
Navezuelas,1.9469666569341888,1.2452082887230758,1.4109198879031386,1.364168470838449,42,1.563567055059315,1.4063198166523498,Navezuelas,1,290448.162580124,4376474.45611635
Santa Cruz de la Sierra,1.721710547647305,1.1024536699089906,1.2443151350984438,1.2247859938450991,41,1.56170784735964,1.557822209398843,Santa Cruz de la Sierra,0,254849.862231019,4358024.7844865
Valencia del Ventoso,1.7206271612033803,1.101804968302036,1.2144111680499432,1.1899531287938168,42,1.5616440392849162,1.5032390922743057,Valencia del Ventoso,0,196205.065608124,4241213.64596825
Santa Cruz de Paniagua,1.7730763524304194,1.1360504110672378,1.3230579251953716,1.267849111410363,42,1.560737389078308,1.361117797318008,Santa Cruz de Paniagua,0,215773.742246727,4454526.00164349
Casas de Miravete,1.818081766880015,1.1679269379337411,1.3249425426340016,1.2627952815209527,42,1.5566742300648593,1.3153085882513622,Casas de Miravete,0,265049.201111265,4401123.6125249
