municipio,voronoi_plant_raw,voronoi_plant,d_euclidean,network_plant_raw,network_plant,d_network,beta_assigned,misallocated,_norm,beta_mum_mean,beta_mum_std,beta_mum_min,beta_mum_max,n_pairs,utm_x,utm_y,bym2_log_beta_pred,bym2_beta_pred
Valverde de MÃ©rida,14,14,14629.283973124326,14,14,27914.7305341,1.9081405887931744,0,valverde de marida,,,,,,220789.401334391,4312035.46156158,0.5144580875497583,1.6727317819597756
Castilblanco,45,45,33986.75436755587,11,11,57663.1372143,1.6966355948759222,1,castilblanco,1.8256911636769104,0.5275066990270626,1.187395520928027,4.548012433234252,300.0,319896.947148144,4350625.34531156,0.4964821135338183,1.6429314463987106
Bodonal de la Sierra,8,8,5905.708222210945,8,8,7259.8062507,1.229286306999792,0,bodonal de la sierra,1.2173075351450766,0.0733994347489023,1.0535298566546418,1.5392538697728684,300.0,188247.87230358,4228294.37775305,0.44832027327233315,1.5656800608388133
Nava de Santiago. La,14,14,19397.60394642308,14,14,36038.287198,1.857873132039355,0,la nava de santiago,1.3377912971877568,0.1415465068885754,1.059864960612878,2.4398715873646952,300.0,196892.451748007,4329703.97455812,0.5031980436099323,1.6540023933536792
Esparragosa de la Serena,15,6,9136.555109522258,15,6,12640.1531529,1.3834703563191162,0,esparragosa de la serena,1.2862237423156302,0.1220342208251387,1.090246738684394,2.2469215882682154,300.0,273349.366874407,4281177.0289042,0.4633812448521938,1.5894391924301314
Maguilla,10,10,22811.555812891227,10,10,26081.8721675,1.1433622669770145,0,maguilla,1.2720070388378666,0.0801012164486892,1.0526923646223318,1.7016840403908695,300.0,252300.451872141,4250477.77037682,0.416464421573443,1.5165900424749996
Calera de LeÃ³n,8,8,25917.50248103844,8,8,32799.8812567,1.2655494595089474,0,calera de lea3n,,,,,,207555.919285026,4223013.20623579,0.4360750811119338,1.5466249127083809
Ahillones,10,10,14597.715921530737,10,10,20341.6671587,1.3934828755433777,0,ahillones,1.246042869441869,0.0798697169449471,1.070410953897382,1.6781865506466398,300.0,249400.634213316,4238628.07790323,0.44087885009453376,1.5540724152108616
Higuera de la Serena,6,6,12594.668086312591,15,6,21664.0202503,1.72009457508798,0,higuera de la serena,1.2699405790613223,0.1219774442041066,1.0585173888449002,2.31354784257166,300.0,261549.900673448,4281126.97414319,0.4876850134152645,1.62854180035515
Esparragosa de Lares,11,11,15856.738830137936,11,11,25664.4921329,1.6185227244911835,0,esparragosa de lares,1.4119485518655046,0.227762277708963,1.1485372891760763,3.030006222145964,300.0,303447.849131883,4316626.20507748,0.4546359650082175,1.5755997051951895
Torremayor,14,14,12801.214311475182,14,14,23120.3231049,1.8061039009537263,0,torremayor,1.302587197363967,0.1555657007188377,1.0426427221602754,2.2686915312081437,300.0,193403.41925182,4311784.94700223,0.5270826195348283,1.693983099562917
VillagarcÃ­a de la Torre,10,10,8686.416190864886,2,1,37153.5768489,4.277204319080721,1,villagarcaa de la torre,,,,,,230851.198602885,4242971.17940474,0.5838140199669717,1.792863424043628
Cordobilla de LÃ¡cara,41,41,24486.014428453924,41,41,30955.1828573,1.264198505957286,0,cordobilla de lacara,,,,,,203220.290435113,4338961.01819424,0.44739648932902143,1.5642343785900807
Benquerencia de la Serena,15,6,6811.032914999259,15,6,9678.3081995,1.4209751032308808,0,benquerencia de la serena,1.253086287737612,0.1178328809605769,1.0577760248403445,2.057147056038054,300.0,283108.902471605,4286576.93830036,0.46311050780083446,1.5890089305963961
