origin_id,destination_id,total_cost
2,"Zarza. La",48136.9514230
2,Ribera del Fresno,599.1625206
2,Burguillos del Cerro,42242.8755082
2,Orellana la Vieja,109691.2390876
2,Zah¡nos,81530.4624272
2,Puebla de Sancho P‚rez,27318.6739911
2,Solana de los Barros,38583.8606790
2,Valdelacalzada,79569.5298386
2,Lobón,66058.9749705
2,Monterrubio de la Serena,87915.9173936
2,Fuentes de León,73105.7617837
2,"Garrovilla. La",65550.1512770
2,Berlanga,52029.5300061
2,Higuera la Real,90495.0138437
2,Villar del Rey,110485.3042484
2,Granja de Torrehermosa,80925.5496109
2,Medell¡n,63081.9547322
2,Bienvenida,33064.2365839
2,"Codosera. La",137588.8357025
2,Valencia del Ventoso,44301.7162606
2,"Coronada. La",89573.2094317
2,Torremej¡a,36993.6890548
2,Siruela,145002.9165105
2,Higuera de Vargas,87146.4097978
2,Segura de León,67081.1473606
2,Salvaleón,59158.0319760
2,Pueblonuevo del Guadiana,83298.0284143
2,Alange,42717.7724949
2,Puebla de Obando,105385.7350300
2,"Albuera. La",63134.9170094
2,Usagre,24923.2796511
2,Fuenlabrada de los Montes,156127.5007438
2,Alconchel,87700.5525152
2,Oliva de Mérida,34495.6159108
2,Salvatierra de los Barros,46012.3602062
2,Villalba de los Barros,31146.2316302
2,Casas de Don Pedro,123169.6817793
2,Esparragalejo,61094.7287220
2,Montemolín,56843.0615695
2,"Roca de la Sierra. La",95242.6524764
2,Campillo de Llerena,66471.8098704
2,Cabeza la Vaca,77906.9345144
2,Villar de Rena,84087.8681566
2,Trujillanos,63973.4074023
2,Valle de la Serena,56067.0859711
2,"Parra. La",38698.9240195
2,Mirandilla,65657.2777236
2,"Haba. La",74392.4645696
2,Villagonzalo,44880.0516966
2,Feria,33963.2766081
2,Medina de las Torres,33880.1976787
2,Valdetorres,53196.7097639
2,Almendral,59792.8256310
2,Corte de Peleas,50938.2087998
2,Cheles,107719.0563958
2,Puebla de Alcocer,121370.9539276
2,Torre de Miguel Sesmero,58102.7844927
2,Valdecaballeros,189779.3069769
2,Peñalsordo,127370.9310776
2,Valle de Santa Ana,68679.0052155
2,Valverde de Mérida,53096.0385904
2,Castilblanco,180172.6221028
2,Bodonal de la Sierra,61981.4248020
2,"Nava de Santiago. La",83633.4693973
2,Esparragosa de la Serena,71041.4286065
2,Maguilla,49818.6498633
2,Calera de León,69331.5179557
2,Ahillones,58675.5599434
2,Higuera de la Serena,56365.6019451
2,Esparragosa de Lares,118803.5568776
2,Torremayor,70715.5053042
2,Villagarcía de la Torre,37153.5768489
2,Cordobilla de Lácara,96227.6994023
2,Benquerencia de la Serena,82955.9262615
2,Llera,23141.6940764
2,San Pedro de Mérida,58318.8701239
2,Calzadilla de los Barros,35549.3765729
2,Puebla de la Reina,26131.0447576
2,Acedera,98322.8935885
2,Táliga,82334.5913188
2,Valencia del Mombuey,98876.6055474
2,Puebla del Maestre,74858.3593765
2,Manchita,52059.9401385
2,"Morera. La",42543.9297675
2,Fuente del Arco,66618.4819824
2,Don Álvaro,60651.9152736
2,Alconera,33915.2001436
2,Nogales,52209.5918534
2,Helechosa de los Montes,209004.3786507
2,Valverde de Llerena,66534.0748100
2,Palomas,22384.8785234
